@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.655, 0.525, 0.175, 1.348, 0.5855, 0.2605, 0.394, 10
I, 0.49, 0.37, 0.11, 0.538, 0.271, 0.1035, 0.139, 8
M, 0.665, 0.535, 0.225, 2.1835, 0.7535, 0.391, 0.885, 27
M, 0.385, 0.295, 0.095, 0.335, 0.147, 0.094, 0.09, 7
M, 0.42, 0.34, 0.115, 0.4215, 0.175, 0.093, 0.135, 8
F, 0.625, 0.525, 0.215, 1.5765, 0.5115, 0.2595, 0.665, 16
F, 0.52, 0.425, 0.15, 0.813, 0.385, 0.2015, 0.23, 10
I, 0.555, 0.455, 0.17, 0.8435, 0.309, 0.1905, 0.3, 15
M, 0.39, 0.285, 0.095, 0.271, 0.11, 0.06, 0.08, 8
I, 0.37, 0.29, 0.08, 0.2545, 0.108, 0.0565, 0.07, 6
F, 0.46, 0.35, 0.115, 0.46, 0.2025, 0.1115, 0.1165, 6
M, 0.65, 0.51, 0.155, 1.407, 0.7215, 0.298, 0.335, 9
I, 0.315, 0.235, 0.075, 0.1285, 0.051, 0.028, 0.0405, 4
I, 0.575, 0.455, 0.16, 0.9895, 0.495, 0.195, 0.246, 9
M, 0.575, 0.45, 0.165, 0.9655, 0.498, 0.19, 0.23, 8
M, 0.535, 0.405, 0.175, 1.2705, 0.548, 0.3265, 0.337, 13
M, 0.56, 0.425, 0.135, 0.9415, 0.509, 0.2015, 0.1975, 9
I, 0.535, 0.42, 0.145, 0.6885, 0.273, 0.1515, 0.237, 9
F, 0.57, 0.47, 0.14, 0.871, 0.385, 0.211, 0.2315, 10
M, 0.505, 0.385, 0.11, 0.655, 0.3185, 0.15, 0.185, 9
F, 0.655, 0.5, 0.14, 1.1705, 0.5405, 0.3175, 0.285, 12
I, 0.54, 0.435, 0.145, 0.97, 0.4285, 0.22, 0.264, 17
I, 0.435, 0.34, 0.11, 0.407, 0.1685, 0.073, 0.13, 10
F, 0.475, 0.35, 0.115, 0.487, 0.194, 0.1455, 0.125, 13
M, 0.365, 0.285, 0.085, 0.2205, 0.0855, 0.0515, 0.07, 9
M, 0.37, 0.28, 0.105, 0.224, 0.0815, 0.0575, 0.075, 8
M, 0.61, 0.47, 0.155, 1.0325, 0.497, 0.2175, 0.2785, 9
F, 0.63, 0.475, 0.15, 1.172, 0.536, 0.254, 0.316, 11
M, 0.72, 0.565, 0.2, 1.787, 0.718, 0.385, 0.529, 11
F, 0.53, 0.42, 0.14, 0.627, 0.2905, 0.1165, 0.183, 8
M, 0.61, 0.47, 0.175, 1.214, 0.5315, 0.2835, 0.325, 10
I, 0.36, 0.265, 0.09, 0.2055, 0.096, 0.037, 0.0585, 7
I, 0.295, 0.22, 0.085, 0.1285, 0.0585, 0.027, 0.0365, 5
I, 0.37, 0.275, 0.095, 0.257, 0.1015, 0.055, 0.0825, 6
M, 0.67, 0.54, 0.195, 1.217, 0.532, 0.2735, 0.3315, 11
F, 0.485, 0.365, 0.15, 0.9145, 0.4145, 0.199, 0.273, 7
M, 0.625, 0.47, 0.15, 1.124, 0.556, 0.2315, 0.287, 9
F, 0.675, 0.54, 0.21, 1.593, 0.686, 0.318, 0.45, 11
M, 0.445, 0.37, 0.125, 0.515, 0.2495, 0.087, 0.159, 9
M, 0.655, 0.515, 0.2, 1.373, 0.443, 0.3375, 0.49, 16
F, 0.56, 0.46, 0.18, 0.97, 0.342, 0.196, 0.355, 12
F, 0.465, 0.39, 0.11, 0.6355, 0.1815, 0.157, 0.225, 13
F, 0.645, 0.525, 0.17, 1.37, 0.6135, 0.283, 0.34, 10
F, 0.67, 0.52, 0.195, 1.8065, 0.758, 0.3735, 0.5055, 11
M, 0.63, 0.485, 0.18, 1.2435, 0.5175, 0.308, 0.37, 11
