@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
I, 0.52, 0.41, 0.14, 0.6625, 0.2775, 0.1555, 0.196, 11
I, 0.55, 0.445, 0.145, 0.783, 0.3045, 0.157, 0.265, 11
F, 0.64, 0.5, 0.15, 1.2015, 0.559, 0.231, 0.3355, 9
F, 0.34, 0.255, 0.085, 0.204, 0.097, 0.021, 0.05, 6
M, 0.5, 0.385, 0.135, 0.551, 0.2245, 0.0715, 0.206, 11
F, 0.6, 0.48, 0.165, 1.1345, 0.4535, 0.27, 0.335, 10
M, 0.41, 0.325, 0.12, 0.3745, 0.158, 0.081, 0.125, 12
M, 0.44, 0.35, 0.14, 0.451, 0.171, 0.0705, 0.184, 16
I, 0.375, 0.28, 0.1, 0.2565, 0.1165, 0.0585, 0.0725, 12
I, 0.47, 0.375, 0.105, 0.468, 0.1665, 0.108, 0.17, 10
M, 0.545, 0.41, 0.145, 0.873, 0.3035, 0.196, 0.31, 18
F, 0.665, 0.52, 0.165, 1.6885, 0.7295, 0.407, 0.4265, 11
M, 0.625, 0.49, 0.165, 1.1835, 0.517, 0.2375, 0.39, 11
I, 0.53, 0.42, 0.14, 0.6765, 0.256, 0.1855, 0.208, 9
I, 0.55, 0.4, 0.135, 0.717, 0.3315, 0.1495, 0.221, 9
I, 0.36, 0.25, 0.115, 0.465, 0.21, 0.1055, 0.128, 7
I, 0.51, 0.375, 0.15, 0.8415, 0.3845, 0.156, 0.255, 10
I, 0.475, 0.36, 0.11, 0.452, 0.191, 0.099, 0.13, 8
M, 0.425, 0.305, 0.11, 0.359, 0.173, 0.0875, 0.0975, 9
I, 0.35, 0.26, 0.095, 0.221, 0.0985, 0.043, 0.07, 8
F, 0.68, 0.52, 0.185, 1.541, 0.5985, 0.395, 0.4575, 10
F, 0.46, 0.365, 0.115, 0.4485, 0.165, 0.083, 0.17, 14
I, 0.335, 0.255, 0.085, 0.1785, 0.071, 0.0405, 0.055, 9
M, 0.375, 0.28, 0.095, 0.2225, 0.0875, 0.043, 0.08, 10
I, 0.27, 0.205, 0.075, 0.118, 0.059, 0.031, 0.0305, 4
M, 0.63, 0.505, 0.155, 1.105, 0.492, 0.226, 0.325, 11
I, 0.39, 0.31, 0.085, 0.344, 0.181, 0.0695, 0.079, 7
