@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
I, 0.605, 0.48, 0.155, 0.9995, 0.425, 0.1985, 0.3, 10
M, 0.745, 0.575, 0.2, 1.884, 0.954, 0.336, 0.495, 12
I, 0.455, 0.355, 0.105, 0.372, 0.138, 0.0765, 0.135, 9
I, 0.47, 0.375, 0.125, 0.5225, 0.2265, 0.104, 0.162, 8
M, 0.54, 0.41, 0.13, 0.56, 0.2375, 0.1065, 0.175, 7
F, 0.545, 0.405, 0.175, 0.98, 0.2585, 0.207, 0.38, 18
M, 0.41, 0.31, 0.125, 0.3595, 0.1415, 0.0885, 0.115, 11
M, 0.455, 0.345, 0.15, 0.5795, 0.1685, 0.125, 0.215, 13
I, 0.47, 0.355, 0.145, 0.4485, 0.156, 0.102, 0.123, 7
I, 0.47, 0.355, 0.115, 0.4155, 0.167, 0.084, 0.139, 7
I, 0.475, 0.42, 0.16, 0.7095, 0.35, 0.1505, 0.1845, 8
F, 0.585, 0.45, 0.145, 0.9835, 0.4845, 0.242, 0.22, 9
M, 0.505, 0.39, 0.115, 0.5585, 0.2575, 0.119, 0.1535, 8
M, 0.715, 0.52, 0.18, 1.6, 0.708, 0.3525, 0.445, 12
F, 0.6, 0.5, 0.16, 1.122, 0.5095, 0.256, 0.309, 10
F, 0.62, 0.5, 0.175, 1.107, 0.4895, 0.24, 0.343, 11
F, 0.71, 0.555, 0.17, 1.47, 0.5375, 0.38, 0.431, 12
F, 0.53, 0.41, 0.145, 0.8255, 0.375, 0.204, 0.245, 9
I, 0.37, 0.275, 0.085, 0.2045, 0.096, 0.056, 0.08, 6
F, 0.475, 0.4, 0.115, 0.541, 0.186, 0.1025, 0.21, 13
F, 0.54, 0.44, 0.16, 1.0905, 0.391, 0.2295, 0.355, 15
M, 0.52, 0.395, 0.125, 0.5815, 0.2565, 0.1265, 0.17, 10
M, 0.66, 0.485, 0.155, 1.2275, 0.61, 0.274, 0.3, 8
F, 0.695, 0.56, 0.185, 1.7715, 0.8195, 0.331, 0.437, 10
M, 0.56, 0.45, 0.145, 0.9355, 0.425, 0.1645, 0.2725, 11
