@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
I, 0.52, 0.395, 0.125, 0.663, 0.3005, 0.131, 0.1905, 9
F, 0.535, 0.41, 0.13, 0.7145, 0.335, 0.144, 0.2075, 9
I, 0.6, 0.475, 0.15, 1.12, 0.565, 0.2465, 0.27, 10
M, 0.615, 0.475, 0.17, 1.129, 0.4795, 0.302, 0.3, 10
I, 0.475, 0.365, 0.115, 0.459, 0.2175, 0.093, 0.1165, 7
F, 0.595, 0.455, 0.16, 1.04, 0.452, 0.2655, 0.288, 9
M, 0.62, 0.485, 0.155, 1.049, 0.462, 0.231, 0.25, 10
I, 0.39, 0.29, 0.1, 0.2225, 0.095, 0.0465, 0.073, 7
I, 0.465, 0.345, 0.11, 0.393, 0.1825, 0.0735, 0.12, 8
I, 0.475, 0.36, 0.145, 0.6325, 0.2825, 0.137, 0.19, 8
I, 0.5, 0.375, 0.14, 0.559, 0.2375, 0.135, 0.169, 9
M, 0.62, 0.48, 0.15, 1.266, 0.6285, 0.2575, 0.309, 12
F, 0.645, 0.51, 0.16, 1.2415, 0.5815, 0.276, 0.315, 9
M, 0.66, 0.51, 0.165, 1.6375, 0.7685, 0.3545, 0.3925, 14
M, 0.71, 0.56, 0.22, 2.015, 0.9215, 0.454, 0.566, 11
F, 0.675, 0.53, 0.175, 1.4465, 0.6775, 0.33, 0.389, 10
I, 0.565, 0.46, 0.155, 0.8715, 0.3755, 0.215, 0.25, 10
I, 0.575, 0.45, 0.135, 0.8245, 0.3375, 0.2115, 0.239, 11
F, 0.61, 0.47, 0.165, 1.1785, 0.566, 0.2785, 0.294, 11
M, 0.615, 0.495, 0.2, 1.219, 0.564, 0.227, 0.3885, 10
F, 0.64, 0.48, 0.145, 1.1145, 0.508, 0.24, 0.34, 10
F, 0.6, 0.45, 0.14, 0.837, 0.37, 0.177, 0.2425, 10
F, 0.455, 0.355, 1.13, 0.594, 0.332, 0.116, 0.1335, 8
F, 0.585, 0.485, 0.15, 1.079, 0.4145, 0.2115, 0.356, 11
F, 0.705, 0.57, 0.185, 1.761, 0.747, 0.3725, 0.488, 10
M, 0.69, 0.55, 0.2, 1.8465, 0.732, 0.472, 0.57, 19
M, 0.555, 0.43, 0.165, 0.7575, 0.2735, 0.1635, 0.275, 13
F, 0.645, 0.5, 0.2, 1.4285, 0.639, 0.305, 0.36, 11
I, 0.38, 0.285, 0.085, 0.237, 0.115, 0.0405, 0.07, 6
F, 0.62, 0.485, 0.175, 1.2155, 0.545, 0.253, 0.345, 10
F, 0.62, 0.475, 0.16, 1.3245, 0.6865, 0.233, 0.3275, 9
M, 0.565, 0.43, 0.13, 0.784, 0.3495, 0.1885, 0.213, 9
F, 0.625, 0.49, 0.155, 1.115, 0.484, 0.277, 0.3095, 9
I, 0.37, 0.275, 0.09, 0.2065, 0.096, 0.0395, 0.058, 7
I, 0.385, 0.285, 0.085, 0.244, 0.1215, 0.0445, 0.068, 8
I, 0.405, 0.31, 0.11, 0.91, 0.416, 0.2075, 0.0995, 8
I, 0.5, 0.375, 0.12, 0.529, 0.2235, 0.123, 0.16, 8
F, 0.72, 0.565, 0.17, 1.613, 0.723, 0.3255, 0.4945, 12
I, 0.425, 0.34, 0.1, 0.371, 0.15, 0.0865, 0.115, 8
M, 0.61, 0.48, 0.14, 1.0625, 0.516, 0.225, 0.2915, 11
M, 0.67, 0.525, 0.17, 1.4005, 0.715, 0.3025, 0.387, 9
M, 0.6, 0.45, 0.15, 0.8665, 0.3695, 0.1955, 0.255, 12
F, 0.62, 0.485, 0.22, 1.511, 0.5095, 0.284, 0.51, 17
F, 0.69, 0.54, 0.185, 1.5715, 0.6935, 0.318, 0.47, 15
F, 0.61, 0.495, 0.19, 1.213, 0.464, 0.306, 0.365, 15
M, 0.64, 0.5, 0.17, 1.4545, 0.642, 0.3575, 0.354, 9
F, 0.72, 0.545, 0.185, 1.7185, 0.7925, 0.401, 0.468, 11
I, 0.45, 0.35, 0.11, 0.514, 0.253, 0.1045, 0.14, 8
F, 0.625, 0.475, 0.16, 1.3335, 0.605, 0.2875, 0.319, 10
M, 0.655, 0.505, 0.165, 1.27, 0.6035, 0.262, 0.335, 10
I, 0.27, 0.205, 0.05, 0.084, 0.03, 0.0185, 0.029, 6
M, 0.545, 0.41, 0.14, 0.737, 0.349, 0.15, 0.212, 9
F, 0.61, 0.49, 0.17, 1.137, 0.4605, 0.2825, 0.344, 12
F, 0.425, 0.35, 0.1, 0.4425, 0.175, 0.0755, 0.175, 7
I, 0.58, 0.435, 0.15, 0.8915, 0.363, 0.1925, 0.2515, 6
I, 0.245, 0.175, 0.055, 0.0785, 0.04, 0.018, 0.02, 5
I, 0.55, 0.445, 0.125, 0.672, 0.288, 0.1365, 0.21, 11
I, 0.58, 0.425, 0.145, 0.83, 0.379, 0.1605, 0.2575, 11
F, 0.655, 0.5, 0.22, 1.359, 0.642, 0.3255, 0.405, 13
