@relation unknow
@attribute x-box integer [0, 15]
@attribute y-box integer [0, 15]
@attribute width integer [0, 15]
@attribute high integer [0, 15]
@attribute onpix integer [0, 15]
@attribute x-bar integer [0, 15]
@attribute y-bar integer [0, 15]
@attribute x2bar integer [0, 15]
@attribute y2bar integer [0, 15]
@attribute xybar integer [0, 15]
@attribute x2ybr integer [0, 15]
@attribute xy2br integer [0, 15]
@attribute x-ege integer [0, 15]
@attribute xegvy integer [0, 15]
@attribute y-ege integer [0, 15]
@attribute yegvx integer [0, 15]
@attribute letter {T, I, D, N, G, S, B, A, J, M, X, O, R, F, C, H, W, L, P, E, V, Y, Q, U, K, Z}
@inputs x-box, y-box, width, high, onpix, x-bar, y-bar, x2bar, y2bar, xybar, x2ybr, xy2br, x-ege, xegvy, y-ege, yegvx
@outputs letter
@data
8, 12, 5, 6, 2, 7, 8, 7, 7, 11, 7, 9, 2, 9, 5, 9, C
8, 9, 7, 4, 3, 6, 11, 6, 2, 10, 4, 5, 4, 9, 4, 8, P
5, 10, 5, 5, 3, 5, 7, 3, 7, 12, 8, 11, 2, 8, 6, 7, L
7, 11, 6, 6, 3, 7, 8, 3, 6, 12, 5, 6, 2, 8, 6, 6, F
3, 10, 4, 8, 3, 1, 12, 3, 4, 12, 11, 8, 0, 8, 2, 6, F
3, 4, 4, 3, 2, 6, 7, 5, 5, 9, 7, 9, 2, 9, 4, 9, G
7, 12, 5, 6, 2, 9, 6, 5, 5, 13, 3, 8, 3, 7, 5, 10, I
2, 3, 2, 1, 1, 8, 7, 6, 4, 9, 6, 8, 2, 8, 3, 8, O
3, 2, 4, 3, 2, 4, 4, 5, 7, 2, 2, 5, 1, 6, 1, 6, L
6, 9, 8, 7, 5, 7, 6, 8, 4, 7, 5, 8, 3, 8, 3, 8, O
4, 9, 5, 7, 3, 9, 6, 2, 6, 14, 4, 8, 0, 7, 0, 8, J
2, 1, 3, 2, 2, 7, 8, 7, 5, 7, 7, 8, 2, 8, 3, 8, O
4, 9, 5, 6, 2, 3, 8, 8, 2, 7, 5, 11, 4, 8, 3, 10, K
5, 8, 5, 6, 4, 4, 9, 1, 6, 9, 10, 7, 3, 11, 4, 4, Y
3, 6, 4, 4, 3, 7, 8, 5, 10, 7, 7, 9, 1, 9, 7, 8, Z
4, 7, 4, 5, 2, 5, 7, 10, 8, 7, 6, 5, 3, 8, 4, 8, D
4, 10, 5, 8, 5, 8, 8, 8, 5, 6, 8, 9, 3, 8, 3, 7, O
5, 8, 8, 7, 7, 7, 7, 2, 4, 7, 3, 8, 6, 4, 8, 11, K
6, 10, 9, 7, 7, 8, 7, 5, 6, 9, 5, 6, 3, 7, 7, 10, B
4, 7, 5, 5, 4, 6, 6, 1, 6, 10, 7, 10, 3, 8, 3, 8, K
9, 15, 8, 8, 4, 5, 10, 4, 4, 9, 9, 6, 4, 11, 2, 8, V
6, 11, 9, 9, 10, 9, 7, 5, 5, 6, 7, 6, 10, 9, 3, 6, M
6, 11, 5, 6, 3, 7, 8, 4, 3, 8, 8, 10, 4, 8, 7, 11, C
4, 10, 5, 8, 7, 8, 7, 3, 5, 6, 7, 10, 4, 9, 8, 8, E
3, 7, 5, 5, 6, 8, 6, 3, 4, 6, 6, 8, 6, 8, 6, 8, K
4, 7, 5, 5, 2, 8, 6, 7, 7, 6, 6, 9, 2, 8, 6, 11, G
4, 11, 5, 8, 4, 6, 8, 9, 8, 7, 5, 7, 3, 8, 9, 10, B
4, 8, 4, 6, 4, 6, 7, 9, 7, 7, 7, 6, 2, 8, 3, 8, D
6, 10, 9, 8, 7, 10, 6, 2, 5, 9, 4, 7, 8, 6, 2, 8, M
3, 8, 4, 6, 2, 7, 7, 14, 2, 5, 6, 8, 6, 8, 0, 8, N
0, 0, 1, 0, 0, 7, 10, 1, 3, 7, 11, 8, 1, 11, 0, 8, Y
5, 9, 5, 5, 3, 10, 4, 3, 3, 12, 7, 11, 3, 10, 4, 10, L
6, 11, 9, 8, 6, 7, 6, 2, 7, 10, 5, 9, 4, 7, 5, 9, K
6, 11, 5, 6, 3, 8, 10, 5, 5, 7, 10, 5, 5, 12, 3, 7, V
2, 9, 3, 7, 3, 8, 7, 0, 7, 7, 6, 8, 0, 8, 3, 7, I
3, 6, 5, 4, 3, 7, 7, 7, 8, 6, 5, 4, 3, 8, 3, 7, D
2, 5, 4, 4, 2, 7, 3, 1, 8, 9, 2, 10, 0, 7, 2, 8, L
6, 8, 6, 6, 4, 7, 11, 3, 8, 12, 9, 4, 2, 12, 3, 4, T
3, 6, 4, 4, 2, 8, 9, 4, 2, 7, 12, 8, 2, 10, 0, 8, V
4, 5, 5, 8, 2, 4, 8, 8, 2, 7, 4, 11, 4, 8, 2, 11, K
3, 7, 5, 5, 5, 7, 7, 3, 4, 8, 8, 8, 6, 9, 4, 5, N
5, 9, 6, 4, 4, 4, 9, 3, 4, 10, 9, 9, 4, 8, 4, 6, H
2, 5, 4, 4, 2, 7, 8, 2, 10, 12, 7, 7, 1, 8, 5, 6, Z
3, 9, 4, 7, 3, 11, 6, 3, 6, 12, 2, 8, 1, 6, 2, 6, J
4, 7, 6, 5, 5, 6, 6, 4, 6, 6, 5, 8, 7, 7, 7, 9, K
3, 9, 5, 7, 4, 8, 7, 7, 7, 7, 7, 4, 3, 8, 3, 7, D
4, 7, 6, 5, 7, 8, 7, 4, 4, 6, 7, 8, 7, 10, 5, 7, U
3, 2, 4, 3, 3, 8, 7, 8, 5, 7, 6, 8, 2, 8, 3, 8, O
4, 7, 5, 5, 3, 5, 8, 5, 1, 7, 8, 8, 8, 9, 0, 8, W
3, 5, 4, 4, 5, 7, 7, 5, 4, 7, 6, 8, 6, 9, 6, 9, B
4, 10, 5, 7, 1, 7, 11, 2, 3, 7, 12, 8, 1, 11, 0, 8, Y
5, 9, 7, 6, 4, 8, 8, 7, 6, 7, 6, 4, 6, 9, 2, 6, N
3, 4, 4, 3, 3, 8, 6, 6, 3, 7, 7, 8, 7, 5, 2, 7, M
2, 7, 3, 4, 1, 3, 13, 8, 2, 11, 7, 3, 0, 10, 3, 8, P
4, 6, 6, 4, 3, 5, 12, 4, 5, 13, 7, 4, 2, 10, 2, 6, F
6, 11, 8, 8, 11, 7, 8, 6, 4, 7, 6, 8, 6, 9, 8, 8, M
1, 3, 2, 2, 1, 8, 7, 5, 3, 9, 6, 8, 2, 8, 2, 8, O
4, 8, 4, 6, 3, 6, 6, 6, 7, 11, 7, 12, 2, 10, 3, 10, G
4, 9, 5, 7, 3, 6, 8, 7, 7, 7, 10, 9, 3, 9, 1, 8, U
2, 4, 4, 3, 2, 7, 4, 1, 8, 8, 2, 10, 0, 7, 2, 8, L
2, 3, 3, 2, 1, 6, 10, 2, 5, 13, 7, 5, 1, 9, 1, 7, F
4, 6, 5, 4, 4, 8, 6, 3, 5, 6, 5, 7, 4, 9, 5, 8, B
3, 4, 3, 6, 1, 0, 1, 5, 6, 0, 0, 7, 0, 8, 0, 8, L
3, 8, 4, 6, 4, 6, 10, 7, 3, 7, 4, 9, 2, 7, 5, 11, R
6, 10, 8, 7, 7, 10, 6, 2, 7, 11, 4, 8, 5, 6, 5, 11, E
5, 9, 7, 6, 7, 7, 8, 6, 3, 7, 6, 8, 5, 8, 8, 8, E
3, 8, 5, 6, 3, 4, 12, 4, 6, 11, 9, 3, 0, 9, 4, 6, P
9, 11, 9, 8, 4, 5, 9, 1, 10, 10, 10, 4, 2, 13, 5, 3, Y
5, 6, 7, 4, 3, 9, 7, 3, 5, 10, 3, 5, 5, 9, 1, 7, N
4, 9, 4, 6, 1, 7, 7, 4, 4, 7, 6, 8, 3, 8, 4, 8, X
2, 2, 2, 2, 2, 8, 7, 5, 3, 8, 6, 8, 2, 9, 2, 7, Q
4, 8, 6, 6, 6, 7, 8, 5, 6, 7, 6, 8, 3, 8, 3, 8, H
2, 1, 2, 1, 1, 8, 7, 4, 7, 5, 6, 7, 0, 8, 8, 8, S
6, 9, 6, 6, 5, 2, 11, 2, 3, 10, 10, 8, 5, 11, 1, 7, W
4, 9, 5, 7, 4, 7, 6, 7, 6, 6, 7, 9, 2, 8, 4, 8, G
3, 6, 5, 4, 3, 10, 7, 3, 6, 10, 2, 7, 3, 7, 3, 10, R
7, 7, 7, 5, 4, 3, 10, 1, 8, 11, 10, 6, 1, 9, 2, 4, Y
4, 11, 5, 8, 4, 7, 7, 8, 7, 8, 5, 7, 2, 7, 9, 8, S
3, 8, 4, 6, 4, 7, 8, 12, 1, 7, 5, 8, 3, 8, 0, 8, H
5, 11, 8, 8, 7, 10, 7, 3, 6, 10, 3, 7, 4, 5, 5, 11, R
3, 7, 5, 5, 3, 9, 7, 4, 6, 10, 4, 7, 3, 7, 4, 10, R
7, 10, 7, 8, 3, 2, 11, 6, 5, 13, 12, 7, 3, 9, 1, 8, V
3, 8, 5, 5, 1, 9, 11, 3, 2, 5, 12, 8, 1, 11, 0, 8, Y
1, 0, 2, 0, 0, 8, 9, 3, 1, 6, 12, 8, 2, 11, 0, 8, V
7, 11, 9, 8, 6, 8, 7, 9, 5, 7, 6, 6, 4, 8, 5, 10, O
3, 3, 3, 5, 1, 0, 1, 6, 6, 0, 0, 6, 0, 8, 0, 8, L
3, 5, 4, 3, 2, 5, 8, 5, 7, 10, 9, 9, 3, 9, 2, 6, U
6, 9, 5, 5, 4, 7, 7, 4, 6, 10, 5, 7, 5, 9, 6, 6, D
5, 9, 8, 7, 4, 5, 9, 1, 7, 9, 12, 9, 1, 11, 2, 7, Y
4, 10, 5, 8, 6, 5, 9, 4, 6, 9, 10, 7, 2, 9, 3, 6, F
6, 8, 9, 6, 4, 8, 8, 3, 5, 10, 5, 6, 6, 9, 2, 7, N
5, 9, 8, 8, 9, 7, 8, 5, 4, 7, 6, 8, 7, 9, 8, 6, B
5, 10, 5, 8, 3, 3, 11, 4, 4, 10, 12, 8, 2, 10, 1, 8, V
4, 8, 6, 6, 4, 5, 13, 6, 2, 12, 6, 2, 0, 10, 3, 7, P
2, 9, 3, 6, 1, 11, 3, 10, 3, 12, 7, 13, 1, 6, 0, 8, J
4, 9, 6, 6, 8, 9, 6, 4, 4, 7, 7, 8, 8, 8, 8, 7, B
3, 7, 5, 5, 7, 8, 9, 4, 4, 7, 6, 7, 2, 7, 8, 1, S
5, 7, 6, 9, 6, 7, 10, 5, 2, 5, 8, 12, 3, 10, 6, 8, Q
4, 2, 4, 3, 4, 7, 7, 5, 6, 6, 6, 6, 2, 8, 6, 9, B
5, 9, 7, 7, 5, 9, 11, 6, 5, 6, 5, 8, 3, 8, 10, 7, Z
6, 8, 7, 10, 8, 10, 12, 5, 4, 6, 7, 7, 5, 11, 8, 5, Y
4, 11, 4, 8, 3, 0, 2, 4, 6, 1, 0, 8, 0, 8, 0, 8, L
4, 10, 7, 8, 5, 12, 6, 2, 7, 10, 1, 6, 2, 7, 3, 10, X
3, 7, 4, 5, 2, 10, 7, 1, 6, 13, 3, 7, 0, 8, 0, 8, J
3, 7, 5, 6, 4, 6, 8, 4, 6, 7, 6, 9, 2, 8, 8, 9, L
9, 13, 7, 7, 4, 8, 2, 3, 2, 8, 4, 12, 5, 4, 5, 6, A
2, 5, 4, 4, 2, 8, 7, 3, 9, 6, 6, 8, 2, 8, 6, 9, X
3, 5, 3, 4, 2, 6, 9, 5, 4, 9, 7, 4, 1, 10, 3, 7, P
6, 9, 9, 6, 5, 7, 9, 2, 5, 10, 6, 6, 6, 9, 1, 7, N
7, 10, 9, 8, 5, 6, 8, 2, 8, 7, 6, 10, 0, 7, 4, 8, I
6, 10, 6, 7, 6, 8, 7, 8, 4, 8, 5, 6, 5, 8, 5, 9, O
9, 15, 8, 8, 6, 8, 6, 5, 5, 7, 7, 6, 7, 5, 5, 4, U
2, 1, 2, 1, 1, 7, 9, 5, 3, 7, 6, 7, 4, 8, 1, 7, N
3, 4, 4, 6, 1, 7, 15, 1, 6, 7, 11, 8, 0, 8, 0, 8, T
4, 9, 5, 7, 5, 8, 8, 6, 6, 7, 6, 9, 3, 8, 3, 8, H
5, 9, 5, 7, 4, 5, 11, 2, 7, 11, 10, 5, 1, 12, 2, 4, T
2, 4, 4, 2, 2, 8, 8, 4, 4, 9, 5, 7, 2, 7, 3, 10, R
4, 8, 6, 6, 3, 5, 11, 5, 5, 13, 8, 5, 2, 9, 2, 6, F
3, 5, 5, 4, 2, 7, 9, 1, 6, 13, 5, 5, 1, 10, 2, 8, F
4, 7, 5, 5, 4, 5, 7, 6, 7, 6, 6, 13, 3, 8, 5, 10, K
4, 8, 5, 5, 1, 7, 7, 4, 4, 7, 6, 8, 3, 8, 4, 8, X
4, 10, 5, 8, 3, 5, 3, 6, 8, 1, 2, 4, 1, 6, 1, 5, L
4, 10, 4, 7, 5, 6, 8, 5, 9, 8, 7, 10, 1, 9, 7, 8, Z
3, 7, 5, 5, 3, 6, 10, 5, 6, 10, 10, 5, 2, 9, 3, 5, F
4, 6, 5, 5, 5, 9, 7, 2, 5, 8, 6, 6, 2, 8, 7, 7, X
4, 4, 5, 3, 2, 4, 9, 5, 7, 11, 10, 9, 3, 9, 2, 7, U
3, 7, 4, 5, 2, 3, 9, 5, 8, 11, 11, 11, 1, 8, 3, 7, C
4, 9, 4, 7, 3, 6, 8, 9, 5, 6, 6, 7, 3, 8, 6, 11, R
4, 10, 7, 7, 1, 7, 10, 2, 2, 7, 13, 8, 2, 11, 0, 8, Y
5, 6, 6, 8, 3, 7, 8, 15, 0, 7, 5, 8, 3, 8, 0, 8, H
5, 9, 8, 6, 6, 7, 7, 1, 6, 10, 5, 9, 3, 7, 3, 8, K
3, 3, 5, 2, 2, 9, 7, 2, 8, 11, 4, 7, 2, 8, 3, 8, X
1, 1, 2, 2, 1, 10, 7, 2, 5, 11, 4, 8, 0, 7, 0, 7, J
3, 5, 4, 5, 4, 7, 6, 2, 5, 7, 6, 9, 2, 11, 7, 8, X
4, 9, 6, 7, 8, 8, 9, 3, 5, 5, 7, 8, 5, 9, 8, 7, R
6, 9, 5, 4, 3, 10, 6, 4, 6, 11, 3, 8, 4, 7, 5, 9, G
6, 11, 4, 6, 2, 7, 8, 5, 7, 8, 4, 12, 1, 7, 7, 8, E
1, 1, 1, 2, 1, 7, 7, 1, 7, 7, 6, 8, 0, 8, 2, 8, I
4, 7, 6, 5, 6, 8, 5, 4, 2, 7, 7, 8, 7, 8, 5, 8, V
5, 4, 5, 7, 2, 7, 4, 15, 6, 7, 14, 8, 3, 9, 0, 8, U
4, 10, 4, 5, 2, 10, 3, 2, 5, 12, 3, 11, 2, 9, 4, 10, L
5, 9, 5, 4, 3, 8, 6, 4, 6, 8, 5, 7, 5, 9, 5, 7, D
4, 5, 5, 7, 2, 7, 5, 14, 5, 7, 14, 8, 3, 9, 0, 8, U
2, 6, 4, 4, 2, 8, 7, 2, 9, 11, 5, 9, 1, 8, 5, 8, Z
2, 0, 2, 1, 0, 2, 1, 6, 5, 0, 2, 4, 0, 8, 0, 8, L
3, 7, 4, 5, 3, 8, 7, 6, 4, 9, 5, 8, 3, 8, 3, 8, O
4, 9, 5, 6, 5, 7, 7, 5, 9, 7, 6, 8, 1, 8, 7, 8, Z
2, 8, 2, 6, 1, 15, 4, 3, 5, 12, 1, 7, 0, 8, 0, 8, J
6, 11, 6, 8, 5, 6, 6, 6, 6, 10, 6, 13, 4, 9, 6, 8, G
8, 12, 7, 7, 4, 8, 5, 4, 9, 10, 5, 9, 3, 7, 9, 10, Q
6, 9, 5, 4, 2, 6, 10, 5, 3, 11, 5, 5, 5, 9, 4, 8, P
5, 10, 6, 9, 6, 8, 7, 7, 5, 6, 6, 9, 3, 8, 5, 8, Q
9, 15, 9, 8, 8, 8, 7, 4, 5, 9, 5, 7, 8, 4, 10, 7, B
2, 1, 3, 2, 2, 7, 8, 5, 4, 7, 7, 6, 5, 9, 2, 6, N
3, 5, 5, 5, 4, 8, 8, 2, 5, 8, 6, 8, 3, 8, 7, 8, X
6, 11, 8, 6, 5, 10, 3, 4, 2, 10, 2, 9, 9, 1, 1, 8, M
4, 7, 4, 5, 2, 5, 11, 1, 8, 11, 9, 5, 0, 10, 2, 4, T
8, 13, 9, 7, 5, 6, 8, 2, 8, 11, 7, 9, 4, 8, 4, 6, X
6, 8, 8, 7, 9, 8, 7, 6, 3, 7, 7, 8, 7, 11, 7, 9, G
5, 8, 8, 6, 3, 4, 8, 5, 2, 7, 9, 8, 8, 9, 0, 8, W
4, 7, 4, 5, 2, 6, 10, 9, 4, 7, 4, 8, 3, 7, 6, 11, R
5, 8, 8, 6, 3, 9, 8, 5, 2, 7, 8, 8, 9, 9, 0, 8, W
3, 10, 5, 8, 8, 9, 8, 4, 5, 7, 6, 6, 4, 7, 8, 5, D
4, 9, 5, 6, 4, 9, 8, 6, 6, 8, 5, 7, 3, 8, 5, 10, R
3, 9, 4, 7, 3, 5, 8, 9, 8, 9, 8, 11, 2, 10, 4, 10, C
2, 7, 3, 4, 1, 7, 7, 4, 4, 7, 6, 8, 3, 8, 4, 8, X
2, 6, 3, 4, 2, 8, 6, 0, 7, 13, 6, 9, 0, 7, 2, 8, I
2, 1, 2, 1, 1, 8, 6, 10, 0, 6, 9, 8, 6, 6, 0, 8, M
5, 9, 8, 7, 10, 8, 6, 4, 4, 6, 7, 8, 10, 9, 5, 8, U
5, 6, 6, 8, 2, 7, 7, 5, 4, 7, 6, 8, 3, 8, 4, 8, X
2, 3, 4, 2, 2, 7, 7, 3, 6, 10, 6, 8, 3, 8, 2, 7, H
6, 12, 5, 6, 4, 9, 8, 4, 4, 12, 4, 4, 4, 11, 5, 7, P
5, 11, 8, 8, 4, 8, 2, 2, 3, 6, 2, 7, 5, 7, 6, 8, A
6, 6, 5, 9, 3, 7, 11, 1, 3, 9, 10, 5, 4, 10, 6, 8, Y
4, 7, 5, 5, 4, 6, 9, 6, 5, 9, 7, 4, 2, 10, 4, 7, P
7, 13, 6, 7, 5, 8, 6, 3, 5, 8, 5, 9, 6, 9, 6, 7, R
6, 10, 8, 7, 5, 4, 8, 7, 8, 9, 11, 11, 3, 9, 1, 8, U
3, 9, 6, 7, 4, 11, 3, 1, 2, 8, 3, 9, 4, 5, 3, 8, A
2, 2, 3, 3, 2, 7, 7, 6, 6, 7, 6, 5, 2, 8, 3, 7, D
6, 10, 9, 7, 5, 4, 8, 2, 7, 10, 10, 11, 3, 8, 4, 6, K
4, 10, 6, 7, 2, 7, 15, 1, 6, 7, 11, 8, 0, 8, 0, 8, T
5, 10, 8, 8, 4, 7, 10, 2, 7, 6, 12, 9, 2, 11, 2, 8, Y
4, 2, 6, 4, 4, 7, 11, 2, 2, 6, 9, 8, 7, 11, 1, 8, W
3, 5, 5, 3, 3, 10, 6, 3, 6, 10, 4, 7, 2, 8, 4, 11, B
10, 14, 9, 8, 8, 8, 7, 4, 5, 9, 6, 7, 8, 7, 10, 8, B
5, 10, 7, 5, 4, 12, 2, 2, 2, 10, 3, 9, 5, 4, 1, 9, M
1, 5, 1, 4, 1, 7, 7, 1, 7, 7, 6, 8, 0, 8, 2, 8, I
4, 4, 5, 3, 3, 4, 11, 3, 2, 9, 9, 7, 6, 11, 1, 7, W
3, 10, 4, 8, 4, 7, 8, 3, 12, 9, 6, 8, 0, 8, 7, 7, Z
5, 8, 5, 6, 2, 4, 7, 8, 1, 7, 6, 12, 4, 8, 3, 11, K
3, 9, 4, 6, 2, 7, 7, 4, 14, 9, 6, 8, 0, 8, 8, 8, Z
6, 9, 8, 7, 5, 9, 7, 5, 8, 11, 5, 5, 3, 8, 4, 9, D
5, 9, 7, 6, 5, 8, 8, 6, 6, 6, 6, 4, 8, 10, 5, 6, N
5, 11, 5, 8, 4, 4, 7, 5, 6, 11, 9, 14, 2, 10, 4, 7, C
6, 7, 4, 11, 4, 8, 7, 4, 3, 11, 6, 7, 3, 9, 10, 6, Z
3, 9, 4, 7, 3, 7, 7, 0, 6, 13, 6, 8, 0, 8, 1, 8, I
3, 7, 5, 5, 5, 9, 7, 5, 2, 7, 6, 10, 5, 9, 4, 10, G
4, 6, 5, 8, 2, 7, 7, 5, 4, 7, 6, 8, 3, 8, 4, 8, X
