@relation unknow
@attribute a1 {b, a}
@attribute a2 real [16.0, 8025.0]
@attribute a3 real [0.0, 26335.0]
@attribute a4 {u, y, l}
@attribute a5 {g, p, gg}
@attribute a6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute a7 {v, h, bb, ff, j, z, o, dd, n}
@attribute a8 real [0.0, 14415.0]
@attribute a9 {t, f}
@attribute a10 {t, f}
@attribute a11 real [0.0, 67.0]
@attribute a12 {f, t}
@attribute a13 {g, s, p}
@attribute a14 real [0.0, 2000.0]
@attribute a15 real [0.0, 100000.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15
@outputs class
@data
b, 3358.0, 335.0, y, p, cc, v, 85.0, f, f, 0.0, f, g, 180.0, 0.0, negative
b, 2292.0, 3165.0, y, p, c, v, 165.0, f, f, 0.0, f, g, 160.0, 1058.0, negative
b, 2592.0, 875.0, u, g, k, v, 375.0, f, t, 2.0, t, g, 174.0, 3.0, negative
b, 1725.0, 3.0, u, g, k, v, 4.0, f, f, 0.0, t, g, 160.0, 40.0, negative
b, 5242.0, 15.0, u, g, d, v, 375.0, f, f, 0.0, t, g, 0.0, 350.0, negative
b, 2967.0, 75.0, y, p, c, v, 4.0, f, f, 0.0, f, g, 240.0, 0.0, negative
b, 2567.0, 29.0, y, p, c, v, 15.0, f, f, 0.0, t, g, 160.0, 0.0, negative
a, 245.0, 2415.0, y, p, c, v, 0.0, f, f, 0.0, f, g, 120.0, 0.0, negative
b, 2108.0, 4125.0, y, p, i, h, 4.0, f, f, 0.0, f, g, 140.0, 100.0, negative
b, 235.0, 3165.0, y, p, k, v, 415.0, f, t, 1.0, t, g, 280.0, 80.0, negative
b, 3925.0, 95.0, u, g, m, v, 65.0, t, t, 14.0, f, g, 240.0, 4607.0, positive
b, 2575.0, 5.0, u, g, c, v, 146.0, t, t, 5.0, t, g, 312.0, 0.0, positive
a, 6408.0, 165.0, u, g, ff, ff, 0.0, t, t, 1.0, f, g, 232.0, 100.0, positive
a, 46.0, 4.0, u, g, j, j, 0.0, t, f, 0.0, f, g, 100.0, 960.0, positive
b, 2267.0, 254.0, y, p, c, h, 2585.0, t, f, 0.0, f, g, 0.0, 0.0, positive
a, 30.0, 529.0, u, g, e, dd, 225.0, t, t, 5.0, t, g, 99.0, 500.0, positive
b, 2283.0, 3.0, u, g, m, v, 129.0, t, t, 1.0, f, g, 260.0, 800.0, positive
b, 4517.0, 15.0, u, g, c, v, 25.0, t, f, 0.0, t, g, 140.0, 0.0, negative
a, 2492.0, 125.0, u, g, ff, ff, 0.0, t, f, 0.0, f, g, 80.0, 0.0, negative
b, 3425.0, 175.0, u, g, w, bb, 25.0, t, f, 0.0, t, g, 163.0, 0.0, negative
b, 3633.0, 379.0, u, g, w, v, 1165.0, t, f, 0.0, t, g, 200.0, 0.0, negative
b, 3008.0, 104.0, y, p, i, bb, 5.0, t, t, 10.0, t, g, 132.0, 28.0, negative
b, 4833.0, 12.0, u, g, m, v, 16.0, t, f, 0.0, f, s, 110.0, 0.0, positive
b, 3475.0, 15.0, u, g, r, n, 5375.0, t, t, 9.0, t, g, 0.0, 134.0, positive
a, 3217.0, 146.0, u, g, w, v, 1085.0, t, t, 16.0, f, g, 120.0, 2079.0, positive
b, 4217.0, 504.0, u, g, q, h, 1275.0, t, f, 0.0, t, g, 92.0, 0.0, positive
a, 2083.0, 3.0, u, g, aa, v, 4.0, t, f, 0.0, f, g, 100.0, 0.0, positive
a, 6517.0, 14.0, u, g, ff, ff, 0.0, t, t, 11.0, t, g, 0.0, 1400.0, positive
b, 5158.0, 15.0, u, g, c, v, 85.0, t, t, 9.0, f, g, 0.0, 0.0, positive
a, 4608.0, 3.0, u, g, c, v, 2375.0, t, t, 8.0, t, g, 396.0, 4159.0, positive
b, 205.0, 2415.0, u, g, c, v, 2.0, t, t, 11.0, t, g, 200.0, 3000.0, positive
b, 2008.0, 25.0, u, g, q, v, 125.0, f, f, 0.0, f, g, 200.0, 0.0, negative
b, 3233.0, 35.0, u, g, k, v, 5.0, f, f, 0.0, t, g, 232.0, 0.0, negative
b, 2925.0, 13.0, u, g, d, h, 5.0, f, f, 0.0, f, g, 228.0, 0.0, negative
b, 4092.0, 5.0, y, p, m, v, 5.0, f, f, 0.0, t, g, 130.0, 0.0, negative
b, 3558.0, 75.0, u, g, k, v, 15.0, f, f, 0.0, t, g, 231.0, 0.0, negative
a, 3517.0, 375.0, u, g, ff, ff, 0.0, f, t, 6.0, f, g, 0.0, 200.0, negative
b, 215.0, 115.0, u, g, i, v, 5.0, t, f, 0.0, t, g, 100.0, 68.0, negative
a, 2108.0, 5.0, y, p, ff, ff, 0.0, f, f, 0.0, f, g, 0.0, 0.0, negative
b, 2567.0, 325.0, u, g, c, h, 229.0, f, t, 1.0, t, g, 416.0, 21.0, negative
b, 2983.0, 35.0, u, g, c, v, 165.0, f, f, 0.0, f, g, 216.0, 0.0, negative
a, 235.0, 15.0, u, g, w, v, 875.0, f, f, 0.0, t, g, 160.0, 0.0, negative
b, 3208.0, 4.0, y, p, cc, v, 15.0, f, f, 0.0, t, g, 120.0, 0.0, negative
a, 1792.0, 54.0, u, g, c, v, 175.0, f, t, 1.0, t, g, 80.0, 5.0, negative
b, 3033.0, 5.0, u, g, d, h, 85.0, f, f, 0.0, t, s, 252.0, 0.0, negative
