@relation unknow
@attribute a1 {b, a}
@attribute a2 real [16.0, 8025.0]
@attribute a3 real [0.0, 26335.0]
@attribute a4 {u, y, l}
@attribute a5 {g, p, gg}
@attribute a6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute a7 {v, h, bb, ff, j, z, o, dd, n}
@attribute a8 real [0.0, 14415.0]
@attribute a9 {t, f}
@attribute a10 {t, f}
@attribute a11 real [0.0, 67.0]
@attribute a12 {f, t}
@attribute a13 {g, s, p}
@attribute a14 real [0.0, 2000.0]
@attribute a15 real [0.0, 100000.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15
@outputs class
@data
b, 4325.0, 3.0, u, g, q, h, 6.0, t, t, 11.0, f, g, 80.0, 0.0, positive
b, 3167.0, 16165.0, u, g, d, v, 3.0, t, t, 9.0, f, g, 250.0, 730.0, positive
a, 2342.0, 79.0, y, p, q, v, 15.0, t, t, 2.0, t, g, 80.0, 400.0, positive
a, 2042.0, 835.0, u, g, q, v, 1585.0, t, t, 1.0, f, g, 0.0, 0.0, positive
b, 3417.0, 154.0, u, g, cc, v, 154.0, t, t, 1.0, t, g, 520.0, 50000.0, positive
a, 36.0, 1.0, u, g, c, v, 2.0, t, t, 11.0, f, g, 0.0, 456.0, positive
b, 255.0, 375.0, u, g, m, v, 25.0, t, t, 3.0, f, g, 260.0, 15108.0, positive
b, 3517.0, 25125.0, u, g, x, h, 1625.0, t, t, 1.0, t, g, 515.0, 500.0, positive
b, 3233.0, 75.0, u, g, e, bb, 1585.0, t, f, 0.0, t, s, 420.0, 0.0, negative
a, 3858.0, 5.0, u, g, cc, v, 135.0, t, f, 0.0, t, g, 980.0, 0.0, negative
b, 4425.0, 5.0, u, g, m, v, 1075.0, t, f, 0.0, f, s, 400.0, 0.0, negative
b, 4483.0, 7.0, y, p, c, v, 1625.0, f, f, 0.0, f, g, 160.0, 2.0, negative
b, 3408.0, 65.0, u, g, aa, v, 125.0, t, f, 0.0, t, g, 443.0, 0.0, negative
a, 1917.0, 585.0, y, p, aa, v, 585.0, t, f, 0.0, t, g, 160.0, 0.0, negative
b, 2167.0, 1165.0, y, p, k, v, 25.0, t, t, 1.0, f, g, 180.0, 20.0, negative
b, 215.0, 975.0, u, g, c, v, 25.0, t, f, 0.0, f, g, 140.0, 0.0, negative
b, 4958.0, 19.0, u, g, ff, ff, 0.0, t, t, 1.0, f, g, 94.0, 0.0, negative
b, 3983.0, 5.0, u, g, m, v, 25.0, t, f, 0.0, f, s, 288.0, 0.0, negative
b, 2725.0, 625.0, u, g, aa, v, 455.0, t, f, 0.0, t, g, 200.0, 0.0, negative
b, 3717.0, 4.0, u, g, c, bb, 5.0, t, f, 0.0, t, s, 280.0, 0.0, negative
b, 2567.0, 221.0, y, p, aa, v, 4.0, t, f, 0.0, f, g, 188.0, 0.0, negative
b, 34.0, 45.0, u, g, aa, v, 1.0, t, f, 0.0, t, g, 240.0, 0.0, negative
a, 49.0, 15.0, u, g, j, j, 0.0, t, f, 0.0, t, g, 100.0, 27.0, negative
b, 625.0, 1275.0, y, p, c, h, 5.0, t, f, 0.0, f, g, 112.0, 0.0, negative
b, 3142.0, 155.0, u, g, c, v, 5.0, t, f, 0.0, f, g, 120.0, 0.0, negative
b, 5233.0, 1375.0, y, p, c, h, 946.0, t, f, 0.0, t, g, 200.0, 100.0, negative
b, 2875.0, 15.0, y, p, c, v, 15.0, t, f, 0.0, t, g, 0.0, 225.0, negative
a, 2858.0, 354.0, u, g, i, bb, 5.0, t, f, 0.0, t, g, 171.0, 0.0, negative
b, 23.0, 625.0, y, p, aa, v, 125.0, t, f, 0.0, f, g, 180.0, 1.0, negative
a, 225.0, 11.0, y, p, q, v, 3.0, t, f, 0.0, t, g, 268.0, 0.0, negative
a, 285.0, 1.0, u, g, q, v, 1.0, t, t, 2.0, t, g, 167.0, 500.0, negative
b, 375.0, 175.0, y, p, c, bb, 25.0, t, f, 0.0, t, g, 164.0, 400.0, negative
b, 3525.0, 165.0, y, p, c, v, 4.0, t, f, 0.0, f, g, 80.0, 0.0, negative
b, 1867.0, 5.0, u, g, q, v, 375.0, t, t, 2.0, f, g, 0.0, 38.0, negative
b, 25.0, 12.0, u, g, k, v, 225.0, t, t, 2.0, t, g, 120.0, 5.0, negative
b, 2783.0, 4.0, y, p, i, h, 575.0, t, t, 2.0, t, g, 75.0, 0.0, negative
b, 5483.0, 155.0, u, g, e, z, 0.0, t, t, 20.0, f, g, 152.0, 130.0, negative
b, 2875.0, 1165.0, u, g, k, v, 5.0, t, f, 0.0, f, s, 280.0, 0.0, negative
b, 4092.0, 225.0, y, p, x, h, 10.0, t, f, 0.0, t, g, 176.0, 0.0, negative
a, 245.0, 104.0, y, p, ff, ff, 5.0, t, t, 3.0, f, g, 180.0, 147.0, negative
b, 2458.0, 125.0, u, g, w, v, 875.0, t, f, 0.0, t, g, 260.0, 0.0, negative
a, 3375.0, 75.0, u, g, k, bb, 1.0, t, t, 3.0, t, g, 212.0, 0.0, negative
b, 2067.0, 125.0, y, p, c, h, 1375.0, t, t, 3.0, t, g, 140.0, 210.0, negative
a, 2542.0, 1125.0, u, g, q, v, 129.0, t, t, 2.0, f, g, 200.0, 0.0, negative
b, 525.0, 65.0, u, g, k, v, 629.0, t, t, 15.0, f, g, 0.0, 11202.0, positive
a, 2075.0, 10335.0, u, g, cc, h, 335.0, t, t, 1.0, t, g, 80.0, 50.0, positive
b, 3992.0, 621.0, u, g, q, v, 4.0, t, t, 1.0, f, g, 200.0, 300.0, positive
b, 2567.0, 125.0, u, g, cc, v, 121.0, t, t, 67.0, t, g, 140.0, 258.0, positive
a, 2475.0, 125.0, u, g, aa, v, 15.0, t, t, 12.0, t, g, 120.0, 567.0, positive
a, 4417.0, 6665.0, u, g, q, v, 7375.0, t, t, 3.0, t, g, 0.0, 0.0, positive
b, 3492.0, 5.0, u, g, x, h, 75.0, t, t, 6.0, t, g, 0.0, 1000.0, positive
b, 2275.0, 11.0, u, g, q, v, 25.0, t, t, 7.0, t, g, 100.0, 809.0, positive
b, 3442.0, 425.0, u, g, i, bb, 325.0, t, t, 2.0, f, g, 274.0, 610.0, positive
a, 2842.0, 35.0, u, g, w, v, 835.0, t, f, 0.0, f, s, 280.0, 0.0, positive
b, 6775.0, 55.0, u, g, e, z, 13.0, t, t, 1.0, t, g, 0.0, 0.0, positive
b, 2042.0, 1835.0, u, g, c, v, 225.0, t, t, 1.0, f, g, 100.0, 150.0, positive
a, 4742.0, 8.0, u, g, e, bb, 65.0, t, t, 6.0, f, g, 375.0, 51100.0, positive
b, 3625.0, 5.0, u, g, c, bb, 25.0, t, t, 6.0, f, g, 0.0, 367.0, positive
b, 3267.0, 55.0, u, g, q, h, 55.0, t, t, 12.0, t, g, 408.0, 1000.0, positive
b, 4858.0, 65.0, u, g, q, h, 6.0, t, f, 0.0, t, g, 350.0, 0.0, positive
b, 3992.0, 54.0, y, p, aa, v, 5.0, t, t, 3.0, f, g, 200.0, 1000.0, positive
b, 3358.0, 275.0, u, g, m, v, 425.0, t, t, 6.0, f, g, 204.0, 0.0, positive
a, 1883.0, 95.0, u, g, w, v, 1625.0, t, t, 6.0, t, g, 40.0, 600.0, positive
a, 2692.0, 135.0, u, g, q, h, 5.0, t, t, 2.0, f, g, 0.0, 5000.0, positive
a, 565.0, 16.0, u, g, j, ff, 0.0, t, t, 15.0, f, g, 0.0, 247.0, positive
b, 43.0, 29.0, y, p, cc, h, 175.0, t, t, 8.0, f, g, 100.0, 375.0, positive
b, 2233.0, 11.0, u, g, w, v, 2.0, t, t, 1.0, f, g, 80.0, 278.0, positive
b, 3283.0, 25.0, u, g, cc, h, 275.0, t, t, 6.0, f, g, 160.0, 2072.0, positive
b, 2325.0, 15.0, u, g, q, v, 2375.0, t, t, 3.0, t, g, 0.0, 582.0, positive
a, 4033.0, 754.0, y, p, q, h, 8.0, t, t, 14.0, f, g, 0.0, 2300.0, positive
a, 305.0, 65.0, u, g, c, bb, 4.0, t, t, 7.0, t, g, 0.0, 3065.0, positive
a, 5283.0, 15.0, u, g, c, v, 55.0, t, t, 14.0, f, g, 0.0, 2200.0, positive
a, 4667.0, 46.0, u, g, cc, h, 415.0, t, t, 11.0, t, g, 440.0, 6.0, positive
a, 5833.0, 10.0, u, g, q, v, 4.0, t, t, 14.0, f, g, 0.0, 1602.0, positive
b, 3733.0, 65.0, u, g, m, h, 425.0, t, t, 12.0, t, g, 93.0, 0.0, positive
b, 2308.0, 25.0, u, g, c, v, 1085.0, t, t, 11.0, t, g, 60.0, 2184.0, positive
b, 3275.0, 15.0, u, g, cc, h, 55.0, t, t, 3.0, t, g, 0.0, 0.0, positive
a, 2167.0, 115.0, y, p, j, j, 0.0, t, t, 11.0, t, g, 0.0, 0.0, positive
a, 285.0, 304.0, y, p, x, h, 254.0, t, t, 1.0, f, g, 70.0, 0.0, positive
a, 6867.0, 15.0, u, g, e, z, 0.0, t, t, 14.0, f, g, 0.0, 3376.0, positive
b, 28.0, 2.0, u, g, k, h, 4165.0, t, t, 2.0, t, g, 181.0, 0.0, positive
b, 3408.0, 8.0, y, p, m, bb, 4.0, t, t, 1.0, t, g, 280.0, 2000.0, positive
b, 2767.0, 2.0, u, g, x, h, 1.0, t, t, 4.0, f, g, 140.0, 7544.0, positive
b, 44.0, 2.0, u, g, m, v, 175.0, t, t, 2.0, t, g, 0.0, 15.0, positive
b, 2508.0, 171.0, u, g, x, v, 1665.0, t, t, 1.0, t, g, 395.0, 20.0, positive
b, 32.0, 175.0, y, p, e, h, 4.0, t, f, 0.0, t, g, 393.0, 0.0, positive
a, 6058.0, 165.0, u, g, q, v, 11.0, t, f, 0.0, t, g, 21.0, 10561.0, positive
b, 1933.0, 95.0, u, g, q, v, 1.0, t, f, 0.0, t, g, 60.0, 400.0, positive
a, 3233.0, 54.0, u, g, cc, v, 4.0, t, f, 0.0, f, g, 440.0, 11177.0, positive
b, 3667.0, 325.0, u, g, q, h, 9.0, t, f, 0.0, t, g, 102.0, 639.0, positive
a, 2508.0, 254.0, y, p, aa, v, 25.0, t, f, 0.0, t, g, 370.0, 0.0, positive
b, 4133.0, 0.0, u, g, c, bb, 15.0, t, f, 0.0, f, g, 0.0, 0.0, positive
b, 56.0, 125.0, u, g, k, h, 8.0, t, f, 0.0, t, g, 24.0, 2028.0, positive
a, 4983.0, 13585.0, u, g, k, h, 85.0, t, f, 0.0, t, g, 0.0, 0.0, positive
b, 2267.0, 105.0, u, g, q, h, 1335.0, t, f, 0.0, f, g, 100.0, 0.0, positive
b, 27.0, 15.0, y, p, w, v, 375.0, t, f, 0.0, t, g, 260.0, 1065.0, positive
b, 25.0, 125.0, u, g, aa, v, 3.0, t, f, 0.0, t, s, 20.0, 0.0, positive
a, 2608.0, 8665.0, u, g, aa, v, 1415.0, t, f, 0.0, f, g, 160.0, 150.0, positive
a, 1842.0, 925.0, u, g, q, v, 121.0, t, t, 4.0, f, g, 60.0, 540.0, positive
b, 2017.0, 817.0, u, g, aa, v, 196.0, t, t, 14.0, f, g, 60.0, 158.0, positive
b, 4767.0, 29.0, u, g, c, bb, 15.0, t, t, 20.0, f, g, 0.0, 15000.0, positive
a, 2125.0, 2335.0, u, g, i, bb, 5.0, t, t, 4.0, f, s, 80.0, 0.0, positive
a, 2242.0, 5665.0, u, g, q, v, 2585.0, t, t, 7.0, f, g, 129.0, 3257.0, positive
b, 4875.0, 85.0, u, g, c, h, 125.0, t, t, 9.0, f, g, 181.0, 1655.0, positive
b, 40.0, 65.0, u, g, aa, bb, 35.0, t, t, 1.0, f, g, 0.0, 500.0, positive
b, 4058.0, 5.0, u, g, c, v, 5.0, t, t, 7.0, f, g, 0.0, 3065.0, positive
a, 2867.0, 104.0, u, g, c, v, 25.0, t, t, 5.0, t, g, 300.0, 1430.0, positive
a, 3308.0, 4625.0, u, g, q, h, 1625.0, t, t, 2.0, f, g, 0.0, 0.0, positive
b, 2133.0, 105.0, u, g, c, v, 3.0, t, f, 0.0, t, g, 0.0, 0.0, positive
b, 42.0, 205.0, u, g, i, h, 5125.0, t, f, 0.0, f, g, 400.0, 0.0, positive
b, 2267.0, 1585.0, y, p, w, v, 3085.0, t, t, 6.0, f, g, 80.0, 0.0, positive
b, 2825.0, 504.0, y, p, c, bb, 15.0, t, t, 8.0, t, g, 144.0, 7.0, positive
b, 3317.0, 3165.0, y, p, x, v, 3165.0, t, t, 3.0, t, g, 380.0, 0.0, positive
b, 2758.0, 204.0, y, p, aa, v, 2.0, t, t, 3.0, t, g, 370.0, 560.0, positive
b, 2258.0, 1004.0, u, g, x, v, 4.0, t, t, 9.0, f, g, 60.0, 396.0, positive
a, 2408.0, 5.0, u, g, q, h, 125.0, t, t, 1.0, f, g, 0.0, 678.0, positive
a, 4133.0, 1.0, u, g, i, bb, 225.0, t, f, 0.0, t, g, 0.0, 300.0, positive
b, 3633.0, 2125.0, y, p, w, v, 85.0, t, t, 1.0, f, g, 50.0, 1187.0, positive
a, 3542.0, 12.0, u, g, q, h, 14.0, t, t, 8.0, f, g, 0.0, 6590.0, positive
b, 2867.0, 9335.0, u, g, q, h, 5665.0, t, t, 6.0, f, g, 381.0, 168.0, positive
b, 3517.0, 25.0, u, g, k, v, 45.0, t, t, 7.0, f, g, 150.0, 1270.0, positive
b, 395.0, 425.0, u, g, c, bb, 65.0, t, t, 16.0, f, g, 117.0, 1210.0, positive
b, 3933.0, 5875.0, u, g, cc, h, 10.0, t, t, 14.0, t, g, 399.0, 0.0, positive
b, 2433.0, 6625.0, y, p, d, v, 55.0, t, f, 0.0, t, s, 100.0, 0.0, positive
b, 6008.0, 145.0, u, g, ff, ff, 18.0, t, t, 15.0, t, g, 0.0, 1000.0, positive
b, 2308.0, 115.0, u, g, i, v, 35.0, t, t, 9.0, f, g, 56.0, 742.0, positive
b, 2667.0, 271.0, y, p, cc, v, 525.0, t, t, 1.0, f, g, 211.0, 0.0, positive
b, 4817.0, 35.0, u, g, aa, v, 35.0, t, f, 0.0, f, s, 230.0, 0.0, positive
b, 4117.0, 404.0, u, g, cc, h, 7.0, t, t, 8.0, f, g, 320.0, 0.0, positive
b, 5592.0, 115.0, u, g, ff, ff, 5.0, t, t, 5.0, f, g, 0.0, 8851.0, positive
b, 5392.0, 9625.0, u, g, e, v, 8665.0, t, t, 5.0, f, g, 0.0, 0.0, positive
a, 1892.0, 925.0, y, p, c, v, 1.0, t, t, 4.0, t, g, 80.0, 500.0, positive
a, 5008.0, 1254.0, u, g, aa, v, 229.0, t, t, 3.0, t, g, 156.0, 0.0, positive
b, 6542.0, 11.0, u, g, e, z, 20.0, t, t, 7.0, t, g, 22.0, 0.0, positive
a, 1758.0, 9.0, u, g, aa, v, 1375.0, t, f, 0.0, t, g, 0.0, 0.0, positive
a, 1883.0, 954.0, u, g, aa, v, 85.0, t, f, 0.0, f, g, 100.0, 0.0, positive
a, 3775.0, 55.0, u, g, q, v, 125.0, t, f, 0.0, t, g, 228.0, 0.0, positive
b, 1808.0, 55.0, u, g, k, v, 5.0, t, f, 0.0, f, g, 80.0, 0.0, positive
a, 225.0, 846.0, y, p, x, v, 246.0, f, f, 0.0, f, g, 164.0, 0.0, positive
b, 1967.0, 375.0, u, g, q, v, 2.0, t, t, 2.0, t, g, 80.0, 0.0, positive
b, 2208.0, 11.0, u, g, cc, v, 665.0, t, f, 0.0, f, g, 100.0, 0.0, positive
b, 2517.0, 35.0, u, g, cc, v, 625.0, t, t, 7.0, f, g, 0.0, 7059.0, positive
a, 4742.0, 3.0, u, g, x, v, 13875.0, t, t, 2.0, t, g, 519.0, 1704.0, positive
b, 335.0, 175.0, u, g, x, h, 45.0, t, t, 4.0, t, g, 253.0, 857.0, positive
b, 2767.0, 1375.0, u, g, w, v, 575.0, t, f, 0.0, t, g, 487.0, 500.0, positive
a, 5842.0, 21.0, u, g, i, bb, 10.0, t, t, 13.0, f, g, 0.0, 6700.0, positive
a, 2067.0, 1835.0, u, g, q, v, 2085.0, t, t, 5.0, f, g, 220.0, 2503.0, positive
b, 2133.0, 75.0, u, g, aa, v, 1415.0, t, t, 1.0, f, g, 80.0, 9800.0, positive
b, 4283.0, 4625.0, u, g, q, v, 458.0, t, f, 0.0, f, s, 0.0, 0.0, positive
b, 3817.0, 10125.0, u, g, x, v, 25.0, t, t, 6.0, f, g, 520.0, 196.0, positive
b, 205.0, 10.0, y, p, c, v, 25.0, t, f, 0.0, f, s, 40.0, 0.0, positive
b, 185.0, 2.0, u, g, i, v, 15.0, t, t, 2.0, f, g, 120.0, 300.0, positive
b, 3317.0, 304.0, y, p, c, h, 204.0, t, t, 1.0, t, g, 180.0, 18027.0, positive
b, 45.0, 85.0, u, g, cc, h, 14.0, t, t, 1.0, t, g, 88.0, 2000.0, positive
a, 1967.0, 21.0, u, g, q, h, 29.0, t, t, 11.0, f, g, 80.0, 99.0, positive
b, 2183.0, 11.0, u, g, x, v, 29.0, t, t, 6.0, f, g, 121.0, 0.0, positive
b, 4025.0, 215.0, u, g, e, z, 20.0, t, t, 11.0, f, g, 0.0, 1200.0, positive
b, 4142.0, 5.0, u, g, q, h, 5.0, t, t, 6.0, t, g, 470.0, 0.0, positive
a, 1783.0, 11.0, u, g, x, h, 1.0, t, t, 11.0, f, g, 0.0, 3000.0, positive
b, 2317.0, 11125.0, u, g, x, h, 46.0, t, t, 1.0, f, g, 100.0, 0.0, positive
b, 1817.0, 1025.0, u, g, c, h, 1085.0, f, f, 0.0, f, g, 320.0, 13.0, negative
b, 20.0, 11045.0, u, g, c, v, 2.0, f, f, 0.0, t, g, 136.0, 0.0, negative
b, 20.0, 0.0, u, g, d, v, 5.0, f, f, 0.0, f, g, 144.0, 0.0, negative
a, 2075.0, 954.0, u, g, i, v, 4.0, f, f, 0.0, f, g, 200.0, 1000.0, negative
b, 3275.0, 2335.0, u, g, d, h, 575.0, f, f, 0.0, t, g, 292.0, 0.0, negative
a, 5217.0, 0.0, y, p, ff, ff, 0.0, f, f, 0.0, f, g, 0.0, 0.0, negative
a, 4817.0, 1335.0, u, g, i, o, 335.0, f, f, 0.0, f, g, 0.0, 120.0, negative
a, 2042.0, 105.0, y, p, x, h, 0.0, f, f, 0.0, t, g, 154.0, 32.0, negative
b, 1708.0, 85.0, y, p, c, v, 4.0, f, f, 0.0, f, g, 140.0, 722.0, negative
a, 32.0, 6.0, u, g, d, v, 125.0, f, f, 0.0, f, g, 272.0, 0.0, negative
b, 5967.0, 154.0, u, g, q, v, 125.0, t, f, 0.0, t, g, 260.0, 0.0, positive
b, 18.0, 165.0, u, g, q, n, 21.0, f, f, 0.0, f, g, 200.0, 40.0, positive
b, 3233.0, 25.0, u, g, c, v, 125.0, f, f, 0.0, t, g, 280.0, 0.0, negative
b, 1808.0, 675.0, y, p, m, v, 4.0, f, f, 0.0, f, g, 140.0, 0.0, negative
b, 3825.0, 10125.0, y, p, k, v, 125.0, f, f, 0.0, f, g, 160.0, 0.0, negative
b, 3067.0, 25.0, u, g, cc, h, 225.0, f, f, 0.0, t, s, 340.0, 0.0, negative
b, 1858.0, 571.0, u, g, d, v, 54.0, f, f, 0.0, f, g, 120.0, 0.0, negative
a, 1917.0, 5415.0, u, g, i, h, 29.0, f, f, 0.0, f, g, 80.0, 484.0, negative
a, 1817.0, 10.0, y, p, q, h, 165.0, f, f, 0.0, f, g, 340.0, 0.0, negative
b, 1625.0, 835.0, u, g, m, v, 85.0, t, f, 0.0, f, s, 200.0, 0.0, negative
b, 2117.0, 875.0, y, p, c, h, 25.0, f, f, 0.0, f, g, 280.0, 204.0, negative
b, 2392.0, 585.0, y, p, cc, h, 125.0, f, f, 0.0, f, g, 240.0, 1.0, negative
b, 1767.0, 446.0, u, g, c, v, 25.0, f, f, 0.0, f, s, 80.0, 0.0, negative
a, 165.0, 125.0, u, g, q, v, 25.0, f, t, 1.0, f, g, 108.0, 98.0, negative
b, 2325.0, 12625.0, u, g, c, v, 125.0, f, t, 2.0, f, g, 0.0, 5552.0, negative
b, 1758.0, 10.0, u, g, w, h, 165.0, f, t, 1.0, f, g, 120.0, 1.0, negative
b, 295.0, 58.0, u, g, w, v, 29.0, f, t, 1.0, f, g, 340.0, 2803.0, negative
b, 1883.0, 415.0, y, p, c, v, 165.0, f, t, 1.0, f, g, 200.0, 1.0, negative
a, 2175.0, 175.0, y, p, j, j, 0.0, f, f, 0.0, f, g, 160.0, 0.0, negative
a, 1825.0, 10.0, u, g, w, v, 1.0, f, t, 1.0, f, g, 120.0, 1.0, negative
b, 2542.0, 54.0, u, g, w, v, 165.0, f, t, 1.0, f, g, 272.0, 444.0, negative
a, 1608.0, 335.0, u, g, ff, ff, 0.0, f, t, 1.0, f, g, 160.0, 126.0, negative
b, 6917.0, 9.0, u, g, ff, ff, 4.0, f, t, 1.0, f, g, 70.0, 6.0, negative
b, 3292.0, 25.0, u, g, aa, v, 175.0, f, t, 2.0, t, g, 720.0, 0.0, negative
b, 2217.0, 12125.0, u, g, c, v, 3335.0, f, t, 2.0, t, g, 180.0, 173.0, negative
a, 5758.0, 2.0, u, g, ff, ff, 65.0, f, t, 1.0, f, g, 0.0, 10.0, negative
b, 1825.0, 165.0, u, g, d, v, 25.0, f, f, 0.0, t, s, 280.0, 0.0, negative
a, 1592.0, 2875.0, u, g, q, v, 85.0, f, f, 0.0, f, g, 120.0, 0.0, negative
a, 2475.0, 13665.0, u, g, q, h, 15.0, f, f, 0.0, f, g, 280.0, 1.0, negative
b, 4875.0, 26335.0, y, p, ff, ff, 0.0, t, f, 0.0, t, g, 0.0, 0.0, negative
b, 235.0, 275.0, u, g, ff, ff, 45.0, f, f, 0.0, f, g, 160.0, 25.0, negative
b, 1858.0, 1029.0, u, g, ff, ff, 415.0, f, f, 0.0, f, g, 80.0, 0.0, negative
a, 1633.0, 21.0, u, g, aa, v, 125.0, f, f, 0.0, f, g, 200.0, 1.0, negative
a, 1858.0, 10.0, u, g, d, v, 415.0, f, f, 0.0, f, g, 80.0, 42.0, negative
